Number	Name	Type	Angle around circle of radar	Blip Edit Status	Blip Quadrant	Blip Ring	Brand Value	Cost	Cost Reduction	Created	Date last modified	Distance from center of Radar	Due Date	Estimate	Event Date	Event Type	IsFaded	Location	Market Size	Owner	Pricing Power	Priority	Status	Target Quarter	URL	URL - Shortened	URL label	Value	Events	Events - Event	Stories	Stories - Story	Technologies	Technologies - Technology	Created by	Modified by
297	Manual infrastructure management	Blip	165		Techniques	Hold					2011-7	375								mmason									no		no		no		jnorris	jnorris
296	Feature branching	Blip	150		Techniques	Hold					2011-7	375								ebottche									no		no		no		jnorris	jnorris
293	Event Sourcing	Blip	144		Techniques	Assess					2011-7	290								mfowler									no		no		no		jnorris	jnorris
292	Event API's	Blip	170		Techniques	Trial					2011-7	255																	no		no		no		jnorris	jnorris
291	Build your own radar	Blip	162		Techniques	Trial					2011-7	200								nford									no		no		no		jnorris	jnorris
289	Thoughtful Caching	Blip	144		Techniques	Trial					2011-7	200								icartwri									no		no		no		jnorris	jnorris
288	Continuous Delivery	Blip	175		Techniques	Adopt					2011-7	145																	no		no		no		jnorris	jnorris
287	Simple Performance Trending	Blip	130	Include w/o Write Up	Techniques	Adopt					2011-7	70								wlistvan									no		no		no		jnorris	jnorris
284	SASS, SCSS, and LESS	Blip	350	Include w/o Write Up	Languages	Trial					2011-1	210													http://sass-lang.com/		SASS - Syntactically Awesome Stylesheets		no		no		no		skseth	jnorris
282	vFabric	Blip	192		Platforms	Assess					2011-7	345								nphines					http://www.springsource.com/products		vFabric Cloud Application Platform		no		no		no		skseth	jnorris
280	Node.js	Blip	202		Platforms	Assess					2011-1	277								hxu					http://nodejs.org/		Node.js home page		no		no		no		skseth	jnorris
279	Heroku	Blip	254		Platforms	Trial					2011-7	265								sshaw					http://heroku.com/		Heroku		no		no		no		skseth	jnorris
277	Vagrant	Blip	60	Include w/o Write Up	Tools	Trial					2011-1	165													http://vagrantup.com/		Vagrant virtualized development environments		no		no		no		skseth	jnorris
274	Log aggregation & indexing (was Splunk)	Blip	45	Being Written	Tools	Trial					2011-1	170								wlistvan					http://www.splunk.com/		Splunk homepage		no		no		no		skseth	jnorris
268	Acceptance Test of Journeys	Blip	135	In Editing	Techniques	Trial					2011-1	165								bjanakir									no		no		no		skseth	jnorris
267	Categorization & Prioritization of Technical Debt	Blip	95		Techniques	Trial					2011-1	245								icartwri					http://www.martinfowler.com/bliki/TechnicalDebt.html		A definition of Technical Debt		no		no		no		skseth	jnorris
